Yogurt	Yogurt, whole milk, baby food	11480010	3.47
Yogurt	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS	11480020	3.4
Yogurt	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron	11480030	3.05
Yogurt	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA	11480040	3.4
Chocolate milk	Chocolate milk, NFS	11511000	3.39
Chocolate milk	Chocolate milk, ready to drink, whole	11511100	3.17
Chocolate milk	Chocolate milk, ready to drink, reduced fat	11511200	2.99
Chocolate milk	Chocolate milk, ready to drink, fat free	11511300	3.39
Chocolate milk	Chocolate milk, ready to drink, low fat	11511400	3.46
Chocolate milk	Chocolate milk, ready to drink, reduced sugar, NS as to milk	11511550	3.43
Chocolate milk	Chocolate milk, ready to drink, low fat (Nesquik)	11511600	3.46
Chocolate milk	Chocolate milk, ready to drink, fat free (Nesquik)	11511610	3.39
Chocolate milk	Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)	11511700	3.46
Hot chocolate / Cocoa	Hot chocolate / Cocoa, ready to drink	11512010	2.72
Hot chocolate / Cocoa	Hot chocolate / Cocoa, ready to drink, made with nonfat milk	11512020	2.79
Hot chocolate / Cocoa	Hot chocolate / Cocoa, ready to drink, made with non-dairy milk	11512030	1.21
Hot chocolate / Cocoa	Hot chocolate / Cocoa, ready to drink, with whipped cream	11512100	2.73
Hot chocolate / Cocoa	Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream	11512110	2.79
Hot chocolate / Cocoa	Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream	11512120	1.29
Chocolate milk	Chocolate milk, made from dry mix, NS as to type of milk	11513000	3.41
Chocolate milk	Chocolate milk, made from dry mix with whole milk	11513100	3.36
Chocolate milk	Chocolate milk, made from dry mix with reduced fat milk	11513150	3.42
Chocolate milk	Chocolate milk, made from dry mix with low fat milk	11513200	3.45
Chocolate milk	Chocolate milk, made from dry mix with fat free milk	11513300	3.5
Chocolate milk	Chocolate milk, made from dry mix with non-dairy milk	11513310	1.68
Chocolate milk	Chocolate milk, made from reduced sugar mix, NS as to type of milk	11513350	3.59
Chocolate milk	Chocolate milk, made from reduced sugar mix with whole milk	11513355	3.53
Chocolate milk	Chocolate milk, made from reduced sugar mix with reduced fat milk	11513360	3.6
Chocolate milk	Chocolate milk, made from reduced sugar mix with low fat milk	11513365	3.63
Chocolate milk	Chocolate milk, made from reduced sugar mix with fat free milk	11513370	3.67
Chocolate milk	Chocolate milk, made from reduced sugar mix with non-dairy milk	11513375	1.82
Chocolate milk	Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)	11513380	3.41
Chocolate milk	Chocolate milk, made from dry mix with whole milk (Nesquik)	11513381	3.36
Chocolate milk	Chocolate milk, made from dry mix with reduced fat milk (Nesquik)	11513382	3.42
Chocolate milk	Chocolate milk, made from dry mix with low fat milk (Nesquik)	11513383	3.45
Chocolate milk	Chocolate milk, made from dry mix with fat free milk (Nesquik)	11513384	3.5
Chocolate milk	Chocolate milk, made from dry mix with non-dairy milk (Nesquik)	11513385	1.68
Chocolate milk	Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)	11513390	3.59
Chocolate milk	Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)	11513391	3.53
Chocolate milk	Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)	11513392	3.6
Chocolate milk	Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)	11513393	3.63
Chocolate milk	Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)	11513394	3.67
Chocolate milk	Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)	11513395	1.82
Chocolate milk	Chocolate milk, made from syrup, NS as to type of milk	11513400	2.89
Chocolate milk	Chocolate milk, made from syrup with whole milk	11513500	2.84
Chocolate milk	Chocolate milk, made from syrup with reduced fat milk	11513550	2.9
Chocolate milk	Chocolate milk, made from syrup with low fat milk	11513600	2.93
Chocolate milk	Chocolate milk, made from syrup with fat free milk	11513700	2.97
Chocolate milk	Chocolate milk, made from syrup with non-dairy milk	11513750	1.29
Chocolate milk	Chocolate milk, made from light syrup, NS as to type of milk	11513800	3.1
Chocolate milk	Chocolate milk, made from light syrup with whole milk	11513801	3.04
Chocolate milk	Chocolate milk, made from light syrup with reduced fat milk	11513802	3.1
Chocolate milk	Chocolate milk, made from light syrup with low fat milk	11513803	3.13
Chocolate milk	Chocolate milk, made from light syrup with fat free milk	11513804	3.18
Chocolate milk	Chocolate milk, made from light syrup with non-dairy milk	11513805	1.48
Chocolate milk	Chocolate milk, made from sugar free syrup, NS as to type of milk	11513850	3.28
Chocolate milk	Chocolate milk, made from sugar free syrup with whole milk	11513851	3.23
Chocolate milk	Chocolate milk, made from sugar free syrup with reduced fat milk	11513852	3.29
Chocolate milk	Chocolate milk, made from sugar free syrup with low fat milk	11513853	3.32
Chocolate milk	Chocolate milk, made from sugar free syrup with fat free milk	11513854	3.36
Chocolate milk	Chocolate milk, made from sugar free syrup with non-dairy milk	11513855	1.66
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with dry mix and water	11514100	0.91
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with dry mix and whole milk	11514110	3.73
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with dry mix and reduced fat milk	11514120	3.79
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with dry mix and low fat milk	11514130	3.82
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with dry mix and fat free milk	11514140	3.86
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with dry mix and non-dairy milk	11514150	2.18
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with no sugar added dry mix and water	11514310	1.28
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk	11514320	4.26
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk	11514330	4.33
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk	11514340	4.35
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk	11514350	4.4
Hot chocolate / Cocoa	Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk	11514360	2.61
Strawberry milk	Strawberry milk, NFS	11519040	3.33
Strawberry milk	Strawberry milk, whole	11519050	3.04
Strawberry milk	Strawberry milk, reduced fat	11519105	3.15
Strawberry milk	Strawberry milk, low fat	11519200	3.13
Strawberry milk	Strawberry milk, fat free	11519205	3.18
Strawberry milk	Strawberry milk, reduced sugar	11519210	3.31
Strawberry milk	Strawberry milk, non-dairy	11519215	1.39
Milk	Milk, malted	11526000	3.2
Eggnog	Eggnog	11531000	4.55
Milk shake	Milk shake, home recipe, chocolate	11541110	3.48
Milk shake	Milk shake, home recipe, flavors other than chocolate	11541120	3.36
Milk shake	Milk shake, home recipe, chocolate, light	11541130	3.99
Milk shake	Milk shake, home recipe, flavors other than chocolate, light	11541135	3.88
Milk shake with malt	Milk shake with malt	11541400	3.77
Milk shake	Milk shake, fast food, chocolate	11542100	3.7
Milk shake	Milk shake, fast food, flavors other than chocolate	11542200	3.37
Milk shake	Milk shake, bottled, chocolate	11543000	3.7
Milk shake	Milk shake, bottled, flavors other than chocolate	11543010	3.37
Licuado or Batido	Licuado or Batido	11551050	2.4
Fruit smoothie	Fruit smoothie, NFS	11553100	2.4
Fruit smoothie	Fruit smoothie, with whole fruit and dairy	11553110	2.4
Fruit smoothie	Fruit smoothie, with whole fruit and dairy, added protein	11553120	7.38
Fruit smoothie juice drink	Fruit smoothie juice drink, with dairy	11553130	0.86
Chocolate milk drink	Chocolate milk drink	11560000	0.64
Infant formula	Infant formula, NFS	11710000	1.38
Infant formula	Infant formula, NS as to form (Similac Expert Care Alimentum)	11710050	1.8
Infant formula	Infant formula, ready-to-feed (Similac Expert Care Alimentum)	11710051	1.8
Infant formula	Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)	11710053	1.8
Infant formula	Infant formula, powder, made with tap water (Similac Expert Care Alimentum)	11710054	1.8
Infant formula	Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)	11710055	1.8
Infant formula	Infant formula, powder, made with baby water (Similac Expert Care Alimentum)	11710056	1.8
Infant formula	Infant formula, NS as to form (Similac Advance)	11710350	1.37
Infant formula	Infant formula, ready-to-feed (Similac Advance)	11710351	1.37
Infant formula	Infant formula, liquid concentrate, made with water, NFS (Similac Advance)	11710352	1.37
Infant formula	Infant formula, powder, made with water, NFS (Similac Advance)	11710353	1.37
Infant formula	Infant formula, liquid concentrate, made with tap water (Similac Advance)	11710354	1.37
Infant formula	Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)	11710355	1.37
Infant formula	Infant formula, liquid concentrate, made with baby water (Similac Advance)	11710356	1.37
Infant formula	Infant formula, powder, made with tap water (Similac Advance)	11710357	1.37
Infant formula	Infant formula, powder, made with plain bottled water (Similac Advance)	11710358	1.37
Infant formula	Infant formula, powder, made with baby water (Similac Advance)	11710359	1.37
Infant formula	Infant formula, NS as to form (Similac Advance Organic)	11710360	1.37
Infant formula	Infant formula, ready-to-feed (Similac Advance Organic)	11710361	1.37
Infant formula	Infant formula, powder, made with water, NFS (Similac Advance Organic)	11710363	1.37
Infant formula	Infant formula, powder, made with tap water (Similac Advance Organic)	11710367	1.37
Infant formula	Infant formula, powder, made with plain bottled water (Similac Advance Organic)	11710368	1.37
Infant formula	Infant formula, powder, made with baby water (Similac Advance Organic)	11710369	1.37
Infant formula	Infant formula, NS as to form (Similac Sensitive)	11710370	1.4
Infant formula	Infant formula, ready-to-feed (Similac Sensitive)	11710371	1.4
Infant formula	Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)	11710372	1.4
Infant formula	Infant formula, powder, made with water, NFS (Similac Sensitive)	11710373	1.4
Infant formula	Infant formula, liquid concentrate, made with tap water (Similac Sensitive)	11710374	1.4
